rank,symbol,name,sector,total_score,trend_score,startup_score,sector_score,market_score,decision,continuation,buy_model,notes,risks,hard_rejects,plan
11,001309,德明利,SZ Main Board,71,40,21,7,3,只观察,弱延续,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
12,002428,云南锗业,SZ Main Board,71,40,21,7,3,只观察,弱延续,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
13,301308,江波龙,ChiNext,71,40,21,7,3,只观察,弱延续,强势震荡再启动,中期结构清晰：强势震荡再启动,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
14,600105,永鼎股份,SH Main Board,71,40,21,7,3,只观察,弱延续,平台突破买点,中期结构清晰：平台突破、强势震荡再启动,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
15,600487,亨通光电,SH Main Board,71,40,21,7,3,只观察,弱延续,强势震荡再启动,中期结构清晰：强势震荡再启动,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
16,600522,中天科技,SH Main Board,71,40,21,7,3,只观察,弱延续,强势震荡再启动,中期结构清晰：强势震荡再启动,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
17,600584,长电科技,SH Main Board,71,40,21,7,3,只观察,弱延续,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
18,688012,中微公司,STAR Market,71,35,21,12,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
19,688525,佰维存储,STAR Market,71,35,21,12,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
20,300033,同花顺,ChiNext,70,35,25,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
21,300604,长川科技,ChiNext,69,40,21,5,3,只观察,弱延续,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；个股可能不是板块前排；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；近5日涨幅27.9%偏高，追高风险增加；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
22,000100,TCL科技,SZ Main Board,66,35,21,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,股价未站稳5日线；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
23,002384,东山精密,SZ Main Board,66,35,21,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,股价未站稳5日线；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
24,300059,东方财富,ChiNext,66,35,21,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
25,300223,北京君正,ChiNext,66,35,21,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
26,300433,蓝思科技,ChiNext,66,35,21,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,股价未站稳5日线；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
27,300502,新易盛,ChiNext,66,35,21,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,股价未站稳5日线；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
28,600030,中信证券,SH Main Board,66,35,21,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
29,002371,北方华创,SZ Main Board,65,40,15,7,3,只观察,弱延续,平台突破买点,中期结构清晰：平台突破,缺少放量阳线启动；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
30,600703,三安光电,SH Main Board,64,35,21,5,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；个股可能不是板块前排；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；近5日涨幅29.5%偏高，追高风险增加；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
31,688008,澜起科技,STAR Market,63,27,21,12,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,20日线未确认向上；股价未站稳5日线；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
32,002281,光迅科技,SZ Main Board,62,35,19,5,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,缺少放量阳线启动；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；个股可能不是板块前排；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
33,002008,大族激光,SZ Main Board,61,32,21,5,3,只观察,弱延续,平台突破买点,中期结构清晰：平台突破、强势震荡再启动,20日线未确认向上；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；个股可能不是板块前排；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
34,002475,立讯精密,SZ Main Board,61,32,21,5,3,只观察,弱延续,强势震荡再启动,中期结构清晰：强势震荡再启动,20日线未确认向上；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；个股可能不是板块前排；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
35,000636,风华高科,SZ Main Board,60,35,15,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,近5日低点未确认抬高；股价未站稳5日线；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
36,000988,华工科技,SZ Main Board,60,35,15,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,股价未站稳5日线；缺少放量阳线启动；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
37,002463,沪电股份,SZ Main Board,60,35,15,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,股价未站稳5日线；缺少放量阳线启动；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
38,300308,中际旭创,ChiNext,60,35,15,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,股价未站稳5日线；缺少放量阳线启动；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
39,300408,三环集团,ChiNext,55,35,10,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,近5日低点未确认抬高；5日线未确认向上；股价未站稳5日线；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
40,600183,生益科技,SH Main Board,55,35,10,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,近5日低点未确认抬高；5日线未确认向上；股价未站稳5日线；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
41,300394,天孚通信,ChiNext,54,35,9,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,近5日低点未确认抬高；股价未站稳5日线；缺少放量阳线启动；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
42,300136,信维通信,ChiNext,52,27,15,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,20日线未确认向上；近5日低点未确认抬高；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
43,603019,中科曙光,SH Main Board,52,27,15,7,3,只观察,弱延续,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,20日线未确认向上；缺少放量阳线启动；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
44,688521,芯原股份,STAR Market,76,40,21,12,3,回避,强转弱风险,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低,近5日涨幅31.2%过度透支,不参与；等待趋势、启动和板块重新满足条件。 硬性原因：近5日涨幅31.2%过度透支
45,600176,中国巨石,SH Main Board,71,40,21,7,3,回避,强转弱风险,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低,近5日涨幅30.6%过度透支,不参与；等待趋势、启动和板块重新满足条件。 硬性原因：近5日涨幅30.6%过度透支
46,603986,兆易创新,SH Main Board,71,40,21,7,3,回避,强转弱风险,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低,近5日涨幅32.4%过度透支,不参与；等待趋势、启动和板块重新满足条件。 硬性原因：近5日涨幅32.4%过度透支
47,300285,国瓷材料,ChiNext,66,35,21,7,3,回避,强转弱风险,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低,近5日涨幅36.0%过度透支,不参与；等待趋势、启动和板块重新满足条件。 硬性原因：近5日涨幅36.0%过度透支
48,300475,香农芯创,ChiNext,66,35,21,7,3,回避,强转弱风险,等待放量突破或回踩确认,站上中期平台，但突破/回踩结构还需确认,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低,近5日涨幅41.7%过度透支,不参与；等待趋势、启动和板块重新满足条件。 硬性原因：近5日涨幅41.7%过度透支
49,300750,宁德时代,ChiNext,30,6,14,7,3,回避,无交易价值,等待放量突破或回踩确认,,股价未确认站上20日线；股价未确认站上60日线；20日线未确认向上；缺少平台突破、趋势回踩或再启动结构；近5日低点未确认抬高；5日线未确认向上；股价未站稳5日线；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低,,不参与；等待趋势、启动和板块重新满足条件。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
50,300476,胜宏科技,ChiNext,28,14,4,7,3,回避,无交易价值,等待放量突破或回踩确认,,股价未确认站上20日线；20日线未确认向上；缺少平台突破、趋势回踩或再启动结构；近5日低点未确认抬高；5日线未确认向上；股价未站稳5日线；缺少放量阳线启动；回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低,,不参与；等待趋势、启动和板块重新满足条件。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
